document,line,token,value,status,source,rel_dev,context
problem1.md,3,2026,2026.0,REGISTRY,E32_M1600_dt0.002_ratio,3.758e-04,> 本文建立 2026 年高教社杯 A 题问题一（预热平衡阶段，0 ~ 1800 s）的数学模型。
problem1.md,3,0,0.0,ALLOW,零,0.0,> 本文建立 2026 年高教社杯 A 题问题一（预热平衡阶段，0 ~ 1800 s）的数学模型。
problem1.md,3,1800,1800.0,ALLOW,题面表1/2 时间点 / 阶段时长,0.0,> 本文建立 2026 年高教社杯 A 题问题一（预热平衡阶段，0 ~ 1800 s）的数学模型。
problem1.md,4,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,> 全部参数取自题面附录 2 与附件 1；全部数值结论均由 `src/q1_solve.py`、
problem1.md,4,1,1.0,ALLOW,题面: 半径网格 / 通用,0.0,> 全部参数取自题面附录 2 与附件 1；全部数值结论均由 `src/q1_solve.py`、
problem1.md,4,1,1.0,ALLOW,题面: 半径网格 / 通用,0.0,> 全部参数取自题面附录 2 与附件 1；全部数值结论均由 `src/q1_solve.py`、
problem1.md,5,1,1.0,ALLOW,题面: 半径网格 / 通用,0.0,> `src/q1_produce.py` 运行得到，数字注册表见 `outputs/registry_q1.csv` 与
problem1.md,5,1,1.0,ALLOW,题面: 半径网格 / 通用,0.0,> `src/q1_produce.py` 运行得到，数字注册表见 `outputs/registry_q1.csv` 与
problem1.md,6,1,1.0,ALLOW,题面: 半径网格 / 通用,0.0,> `outputs/registry_q1_production.csv`。
problem1.md,9,1,1.0,ALLOW,题面: 半径网格 / 通用,0.0,> 并在 `problem_slove1.md` 中给出数值验证。**
problem1.md,15,25,25.0,ALLOW,题面: 长度 25 cm,0.0,一根圆柱形中药材，长 $L=25 \mathrm{cm}$、半径 $R=2 \mathrm{cm}$，初始温度
problem1.md,15,2,2.0,ALLOW,题面: 半径 2 cm / 通用整数,0.0,一根圆柱形中药材，长 $L=25 \mathrm{cm}$、半径 $R=2 \mathrm{cm}$，初始温度
problem1.md,16,28,28.0,ALLOW,题面: 初始温度 28 degC,0.0,$T=28 ^\circ\mathrm{C}$、初始干基含水率 $C=2.55 \mathrm{kg/kg}$，置于热风烘房
problem1.md,16,2.55,2.55,ALLOW,题面: 初始含水率 2.55 kg/kg,0.0,$T=28 ^\circ\mathrm{C}$、初始干基含水率 $C=2.55 \mathrm{kg/kg}$，置于热风烘房
problem1.md,17,1,1.0,ALLOW,题面: 半径网格 / 通用,0.0,中。烘房温度 $T_\infty(t)$ 与烘房水分浓度 $C_\infty(t)$ 随时间变化，由附件 1 给出
problem1.md,18,60,60.0,ALLOW,附件1 采样间隔 60 s,0.0,（采样间隔 60 s，覆盖 0 ~ 14400 s）。
problem1.md,18,0,0.0,ALLOW,零,0.0,（采样间隔 60 s，覆盖 0 ~ 14400 s）。
problem1.md,18,14400,14400.0,ALLOW,附件1 覆盖时长 14400 s,0.0,（采样间隔 60 s，覆盖 0 ~ 14400 s）。
problem1.md,20,1800,1800.0,ALLOW,题面表1/2 时间点 / 阶段时长,0.0,"要求建立预热平衡阶段（前 1800 s）药材内部温度场 $T(r,t)$ 与水分浓度场 $C(r,t)$"
problem1.md,21,100,100.0,ALLOW,题面表1/2 时间点,0.0,的数学模型，并给出 100、300、600、900、1200、1500、1800 s 时刻，到药材中心距离
problem1.md,21,300,300.0,ALLOW,题面表1/2 时间点,0.0,的数学模型，并给出 100、300、600、900、1200、1500、1800 s 时刻，到药材中心距离
problem1.md,21,600,600.0,ALLOW,题面表1/2 时间点,0.0,的数学模型，并给出 100、300、600、900、1200、1500、1800 s 时刻，到药材中心距离
problem1.md,21,900,900.0,ALLOW,题面表1/2 时间点,0.0,的数学模型，并给出 100、300、600、900、1200、1500、1800 s 时刻，到药材中心距离
problem1.md,21,1200,1200.0,ALLOW,题面表1/2 时间点,0.0,的数学模型，并给出 100、300、600、900、1200、1500、1800 s 时刻，到药材中心距离
problem1.md,21,1500,1500.0,ALLOW,题面表1/2 时间点,0.0,的数学模型，并给出 100、300、600、900、1200、1500、1800 s 时刻，到药材中心距离
problem1.md,21,1800,1800.0,ALLOW,题面表1/2 时间点 / 阶段时长,0.0,的数学模型，并给出 100、300、600、900、1200、1500、1800 s 时刻，到药材中心距离
problem1.md,22,0,0.0,ALLOW,零,0.0,"$0, 0.5, 1, 1.5, 2 \mathrm{cm}$ 处的结果（表 1、表 2），以及 1800 s 内"
